nationality,country_description,age_group,if_travel_alone,travelling_with,no_female,no_male,total_travellers,purpose_code,purpose_other,activity_main,activity_others,info_source,info_source_others,info_radio_tv_web,tour_package,pac_transport_int,pac_accomodation,pac_food,pac_transport_tz,pac_sightseeing,pac_guided_tour,pac_insurance,currency1,package_cost,if_group_package,nights_mainland,nights_zanzibar,currency2,spent_amount_tz,acc_hotel,acc_others,food_drink,trans_air,trans_road,trans_water,trans_railway,trans_rental,cost_transport_tz,exp_cult_service,exp_sport,exp_sightseeing,mountain_climbing,hunting,gate_fees,visa_taxes,exp_shopping,exp_other,exp_other_detail,if_group_breakdown,payment_mode,payment_mode_others,if_first_trip_tz,most_impressing_tz1,most_impressing_tz2,most_impressing_tz3,most_impressing_tz4,improvement_areas1,improvement_areas2,improvement_areas3,improvement_areas4
SOUTH AFRICAN,SOUTH AFRICA,25-44,1,Alone,0,1,1,Business,,Wildlife tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,260,130,0,130,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,Friendly People,,,Friendly People, Improve on Roads,,,
ZAMBIAN,SOUTH AFRICA,25-44,1,Alone,0,1,1,Business,,Wildlife tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,3,0,USD,1000,600,300,0,100,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Credit Card,,0,Friendly People,,,Friendly People, Improve on Roads,,,
NORWEGIAN,NORWAY,25-44,1,Alone,1,0,1,Leisure and Holidays,,Beach tourism,,"Newspaper, magazines,brochures",,,0,0,0,0,0,0,0,0,,0,,15,3,TZS,2000000,1000000,0,200000,0,0,0,116060,0,,0,0,200940,0,0,0,83000,200000,200000,GIFT AND TIPS,1,Cash,,0,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
PAKISTANIAN,PAKISTAN,25-44,0,With Spouse and Children,1,2,3,Business,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,65,0,USD,30000,15000,0,5000,0,3000,0,0,0,,0,0,0,0,0,0,0,0,7000,,1,Cash,,1, Wildlife,,, Wildlife, Improve on Roads,,,
OMANIS,OMAN,45-64,0,With Other Friends/Relatives,3,0,3,Visiting Friends and Relatives,,Hunting tourism,VISITING RELATIVES,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,28,0,TZS,800000,400000,,200000,100000,0,0,0,0,,0,0,0,0,0,0,0,100000,0,,0,Cash,,1,Friendly People,,,Friendly People," Improve Facilities (Toilets, Water,...) Improve on Roads"," Improve Facilities (Toilets, Water,...)",,
NORWEGIAN,NORWAY,18-24,0,With Other Friends/Relatives,2,2,4,Leisure and Holidays,,Beach tourism,,"Radio, TV, Web (please specify)",,WEB,0,0,0,0,0,0,0,0,,0,,4,4,NOK,18000,4800,0,4000,0,2000,0,0,0,,2000,0,2000,0,0,0,0,3200,0,,1,Cash,,1,Friendly People, Wildlife,,No comments," Improve Facilities (Toilets, Water,...) Improve Facilities (Toilets, Water,...)",,,
DUTCH,NETHERLANDS,45-64,0,With Spouse and Children,2,1,3,Leisure and Holidays,,Wildlife tourism,,"Travel, agent, tour operator",,,1,0,1,1,0,1,1,0,EUR,6000,1,14,4,EUR,320,0,0,0,200,0,120,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1, Wildlife,,, Wildlife," Improve Facilities (Toilets, Water,...)Flycatchers/ vendors are annoying",,,
AUSTRALIAN,AUSTRALIA,25-44,1,,1,0,1,Leisure and Holidays,,Wildlife tourism,,"Friends, relatives",,,0,0,0,0,0,0,0,0,,0,,53,2,USD,2500,100,100,150,0,0,100,0,0,,0,0,1000,0,0,50,50,50,0,,1,Cash,,1,Friendly People,,,Friendly People,Flycatchers/ vendors are annoying,,,
BRITISH,UNITED KINGDOM,25-44,1,,0,1,1,Meetings and Conference,,Beach tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,0,3,USD,2000,1200,0,300,500,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,1,Others (please specify),,,Others (please specify)," Improve Facilities (Toilets, Water,...)",,,
FRENCH,GERMANY,25-44,1,Alone,0,1,1,Business,,Wildlife tourism,,"Travel, agent, tour operator",,,0,0,0,0,0,0,0,0,,0,,1,0,USD,100,0,100,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,Cash,,0,No comments,,,No comments," Improve Facilities (Toilets, Water,...)Slow airport procedures/ slow processing of VISA at Entry",,,
